resn,cause,lon,lat,occu_year,sgg_cd
담뱃불 실화,human,127.9262845034545,37.29451647510889,2017,42150
입산자 실화,human,126.6829741989093,35.14501921945723,2017,42130
입산자 실화,human,127.82700979494437,37.62671788801127,2017,42720
원인미상(조사중),unknown,127.96728999106026,37.902868380197106,2017,42110
입산자 실화추정,human,127.88731558642941,37.99005441836989,2017,42110
입산자 실화,human,128.80429929945737,37.72251441243455,2017,42150
주택화재 비화,unknown,128.0972323748865,37.805868187468086,2017,42720
입산자 실화추정,human,128.46761791749168,38.38279710502092,2017,42820
입산자 실화,human,129.01418761131995,37.25417181193579,2017,42230
입산자 실화추정,human,127.93034434954954,37.63346229842726,2017,42720
입산자 실화,human,128.72524180523703,37.329123913667544,2017,42770
쓰레기 소각,human,127.47710377469193,38.11348042076821,2016,42790
담뱃불실화,human,128.02396227688408,37.446554904137734,2016,42130
담뱃불 실화,human,127.91223808634591,37.433980607232364,2016,42130
농산폐기물,human,127.79158482154664,37.80866241375835,2016,42110
건축물실화(공장),human,128.39423328429055,37.225764673706834,2015,42750
화목보일러 불씨추정,human,129.17243896402076,37.17332763927032,2015,42230
입산자실화,human,128.0086361198217,38.018420070871194,2014,42800
입산자실화추정,human,127.94847648423341,37.9276982825404,2015,42110
입산자실화 추정,human,128.78541536471226,37.60345915576545,2015,42150
입산자실화 추정,human,128.81026501125922,37.90148520680431,2015,42150
쓰레기소각,human,128.7338014922533,37.993680528833,2014,42830
농산폐기물소각,human,127.98814339223426,38.13746047922248,2014,42800
성묘객실화,human,127.78768262978396,37.35374180937598,2013,42130
농산폐기물소각,human,128.60160685234672,38.11742722248252,2013,42830
농산폐기물소각,human,127.97005877842895,38.164672984203555,2013,42800
입산자 실화추정,human,128.85840375104158,37.12131136253194,2017,42750
입산자 실화추정,human,128.49691045177082,37.133809112727874,2017,42750
농산폐기물 소각(고춧대),human,127.86349424138818,37.720602540288695,2017,42720
입산자 실화추정,human,128.7716489524777,37.13841009858601,2017,42750
입산자 실화,human,127.86013130829055,37.73854512401516,2017,42720
입산자 실화,human,128.16374094357684,37.81314709418692,2017,42820
"쓰레기 소각(국:0.15, 사:0.15)",human,128.4484408624693,38.46505873046951,2017,42720
입산자 실화,human,127.8496825540633,37.23160566153421,2017,42130
밭두렁 소각,human,127.78422591257066,37.161874231676045,2017,42130
입산자 실화추정,human,128.47658409217397,38.362459666602504,2017,42820
조사중,unknown,128.11520173484084,38.06492002664127,2017,42810
조사중,unknown,127.67889907432834,37.84278567931643,2017,42110
입산자 실화추정,human,127.78747781389917,37.79795300018573,2017,42110
입산자 실화,human,127.65633959276671,37.90618437185645,2017,42110
쓰레기 소각,human,127.69153423812558,37.61227445043108,2016,42720
담뱃불 실화,human,128.82985142855654,37.743777663140904,2016,42150
쓰레기 소각,human,128.07554515746574,37.44612440641011,2016,42730
농산부산물 소각,human,128.43660708573702,37.21037097706864,2016,42750
입산자 실화추정,human,127.67319459261113,38.195288213360186,2016,42790
쓰레기 소각,human,128.7347136415928,37.30254997882905,2016,42770
원인미상,unknown,127.34201332563548,38.169713415511424,2016,42780
입산자 실화추정,human,127.88589103805185,38.01650170012306,2016,42110
(화목)보일러 불씨비화 추정,human,128.8084856283444,37.72587629290037,2016,42150
쓰레기 소각,human,128.7277521472985,37.12327436036142,2016,42750
논밭뚝 소각,human,127.75433959188868,37.82916681651391,2016,42110
차량화재,unknown,128.1611051967017,37.824417963402524,2014,42720
농산폐기물 소각,human,128.39366617785166,37.49143276365533,2014,42760
입산자 실화,human,128.43460006972924,37.97812898130549,2014,42810
입산자 실화,human,127.97655171147103,37.84803290917402,2014,42720
입산자 실화추정,human,127.81181811568003,38.11622726200903,2014,42790
입산자 실화추정,human,127.67794542282273,37.84711718680716,2014,42110
쓰레기소각,human,128.1610862422492,37.983952342128156,2014,42810
도로공사(용접불티)비화,work_spark,128.1147081105922,38.149937375134044,2014,42810
쓰레기소각,human,128.17579274142858,37.53180837473214,2014,42730
입산자 실화추정,human,128.08158201583805,37.51622999657871,2018,42730
조명탄 발화(조사중),unknown,127.91784599917007,37.86629799992167,2018,42110
산업현장 담뱃불 실화추정,human,127.7962169843092,37.20696799731829,2018,42130
예초기 과열추정,work_spark,127.56428096110238,37.744989997468714,2018,42110
입산자 실화,human,128.05473397711006,37.788573000263774,2018,42720
입산자 실화,human,127.86463698826111,37.713919002445905,2018,42720
입산자 실화,human,127.86469196515651,38.019863001967536,2018,42110
입산자 실화,human,128.11519203303575,38.06491600236022,2018,42810
입산자 실화,human,128.4421320840605,37.854268368739824,2017,42720
입산자 실화,human,127.89641731688812,37.8318314148219,2017,42720
담뱃불 실화,human,128.82798697518433,37.84369171557082,2017,42150
